sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_1978;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_1979;Unclassified;;;;;;
OTU_1980;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_1981;Bacteria;Planctomycetota;vadinHA49;;;;
OTU_1982;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter;
OTU_1983;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;;
OTU_1984;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_1985;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_1986;Unclassified;;;;;;
OTU_1987;Unclassified;;;;;;
OTU_1988;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_1989;Bacteria;NB1-j;;;;;
OTU_1990;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;
OTU_1991;Unclassified;;;;;;
OTU_1992;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
OTU_1993;Bacteria;NB1-j;;;;;
OTU_1994;Unclassified;;;;;;
OTU_1995;Bacteria;Latescibacterota;;;;;
OTU_1996;Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;;
OTU_1997;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum;
OTU_1998;Unclassified;;;;;;
OTU_1999;Unclassified;;;;;;
OTU_2000;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
OTU_2001;Unclassified;;;;;;
OTU_2002;Unclassified;;;;;;
OTU_2003;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus;Amoebophilus
OTU_2004;Unclassified;;;;;;
OTU_2005;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;;
OTU_2006;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured;
OTU_2007;Unclassified;;;;;;
OTU_2008;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;uncultured;
OTU_2009;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
OTU_2010;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured;
OTU_2011;Unclassified;;;;;;
OTU_2012;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;MBAE14;;
OTU_2013;Unclassified;;;;;;
OTU_2014;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_2015;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_2016;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;;;
OTU_2017;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;
OTU_2018;Bacteria;Proteobacteria;Gammaproteobacteria;eub62A3;;;
OTU_2019;Unclassified;;;;;;
OTU_2020;Unclassified;;;;;;
OTU_2021;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade;
OTU_2022;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Oceanibaculaceae;Oceanibaculum;
OTU_2023;Bacteria;Myxococcota;Polyangia;Blfdi19;;;
OTU_2024;Unclassified;;;;;;
OTU_2025;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured;
OTU_2026;Unclassified;;;;;;
OTU_2027;Unclassified;;;;;;
OTU_2028;Unclassified;;;;;;
OTU_2029;Unclassified;;;;;;
OTU_2030;Bacteria;Proteobacteria;Gammaproteobacteria;EC3;;;
OTU_2031;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;
OTU_2032;Unclassified;;;;;;
OTU_2033;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2034;Unclassified;;;;;;
OTU_2035;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured;
OTU_2036;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_2037;Unclassified;;;;;;
OTU_2038;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_2039;Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;
OTU_2040;Unclassified;;;;;;
OTU_2041;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;
OTU_2042;Unclassified;;;;;;
OTU_2043;Unclassified;;;;;;
OTU_2044;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_2045;Unclassified;;;;;;
OTU_2046;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2047;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;;
OTU_2048;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;
OTU_2049;Bacteria;Planctomycetota;OM190;;;;
OTU_2050;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2051;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_2052;Unclassified;;;;;;
OTU_2053;Unclassified;;;;;;
OTU_2054;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rubripirellula;
OTU_2055;Unclassified;;;;;;
OTU_2056;Unclassified;;;;;;
OTU_2057;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2058;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_2059;Unclassified;;;;;;
OTU_2060;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2061;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;
OTU_2062;Unclassified;;;;;;
OTU_2063;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured;
OTU_2064;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;
OTU_2065;Unclassified;;;;;;
OTU_2066;Unclassified;;;;;;
OTU_2067;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2068;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_2069;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2070;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_2071;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2072;Unclassified;;;;;;
OTU_2073;Unclassified;;;;;;
OTU_2074;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_2075;Unclassified;;;;;;
OTU_2076;Unclassified;;;;;;
OTU_2077;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum;
OTU_2078;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2079;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_2080;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_2081;Bacteria;Proteobacteria;Gammaproteobacteria;BD72BR169;;;
OTU_2082;Bacteria;;;;;;
OTU_2083;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2084;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_2085;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
OTU_2086;Unclassified;;;;;;
OTU_2087;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;
OTU_2088;Unclassified;;;;;;
OTU_2089;Unclassified;;;;;;
OTU_2090;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
OTU_2091;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;uncultured;
OTU_2092;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2093;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_2094;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2095;Unclassified;;;;;;
OTU_2096;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2097;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;
OTU_2098;Unclassified;;;;;;
OTU_2099;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_2100;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_2101;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;uncultured;
OTU_2102;Unclassified;;;;;;
OTU_2103;Unclassified;;;;;;
OTU_2104;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
OTU_2105;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2106;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_2107;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_2108;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2109;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;
OTU_2110;Unclassified;;;;;;
OTU_2111;Unclassified;;;;;;
OTU_2112;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2113;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
OTU_2114;Unclassified;;;;;;
OTU_2115;Unclassified;;;;;;
OTU_2116;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_2117;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Halioglobus;
OTU_2118;Unclassified;;;;;;
OTU_2119;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;
OTU_2120;Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Balneola;
OTU_2121;Unclassified;;;;;;
OTU_2122;Unclassified;;;;;;
OTU_2123;Bacteria;Planctomycetota;OM190;;;;
OTU_2124;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;;
OTU_2125;Unclassified;;;;;;
OTU_2126;Bacteria;Planctomycetota;OM190;;;;
OTU_2127;Unclassified;;;;;;
OTU_2128;Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;;
OTU_2129;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum;
OTU_2130;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_2131;Unclassified;;;;;;
OTU_2132;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2133;Unclassified;;;;;;
OTU_2134;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus;
OTU_2135;Unclassified;;;;;;
OTU_2136;Bacteria;Planctomycetota;OM190;;;;
OTU_2137;Unclassified;;;;;;
OTU_2138;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2139;Unclassified;;;;;;
OTU_2140;Unclassified;;;;;;
OTU_2141;Bacteria;Desulfobacterota;Desulfuromonadia;PB19;;;
OTU_2142;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2143;Unclassified;;;;;;
OTU_2144;Unclassified;;;;;;
OTU_2145;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;
OTU_2146;Unclassified;;;;;;
OTU_2147;Unclassified;;;;;;
OTU_2148;Unclassified;;;;;;
OTU_2149;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_2150;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2151;Unclassified;;;;;;
OTU_2152;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes;
OTU_2153;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2154;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2155;Unclassified;;;;;;
OTU_2156;Unclassified;;;;;;
OTU_2157;Unclassified;;;;;;
OTU_2158;Unclassified;;;;;;
OTU_2159;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
OTU_2160;Bacteria;Latescibacterota;;;;;
OTU_2161;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2162;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;;
OTU_2163;Unclassified;;;;;;
OTU_2164;Unclassified;;;;;;
OTU_2165;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
OTU_2166;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;
OTU_2167;Unclassified;;;;;;
OTU_2168;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
OTU_2169;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_2170;Unclassified;;;;;;
OTU_2171;Unclassified;;;;;;
OTU_2172;Unclassified;;;;;;
OTU_2173;Unclassified;;;;;;
OTU_2174;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;;
OTU_2175;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;uncultured;
OTU_2176;Unclassified;;;;;;
OTU_2177;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
OTU_2178;Bacteria;Proteobacteria;Gammaproteobacteria;Milano-WF1B-44;;;
OTU_2179;Unclassified;;;;;;
OTU_2180;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2181;Unclassified;;;;;;
OTU_2182;Unclassified;;;;;;
OTU_2183;Unclassified;;;;;;
OTU_2184;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;;
OTU_2185;Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;;
OTU_2186;Unclassified;;;;;;
OTU_2187;Unclassified;;;;;;
OTU_2188;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_2189;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2190;Unclassified;;;;;;
OTU_2191;Bacteria;Latescibacterota;;;;;
OTU_2192;Unclassified;;;;;;
OTU_2193;Unclassified;;;;;;
OTU_2194;Bacteria;NB1-j;;;;;
OTU_2195;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquibacter;
OTU_2196;Unclassified;;;;;;
OTU_2197;Bacteria;Planctomycetota;OM190;;;;
OTU_2198;Unclassified;;;;;;
OTU_2199;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2200;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;;
OTU_2201;Unclassified;;;;;;
OTU_2202;Unclassified;;;;;;
OTU_2203;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_2204;Unclassified;;;;;;
OTU_2205;Unclassified;;;;;;
OTU_2206;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_2207;Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;
OTU_2208;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;
OTU_2209;Unclassified;;;;;;
OTU_2210;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_2211;Unclassified;;;;;;
OTU_2212;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;;
OTU_2213;Unclassified;;;;;;
OTU_2214;Unclassified;;;;;;
OTU_2215;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
OTU_2216;Unclassified;;;;;;
OTU_2217;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium;
OTU_2218;Unclassified;;;;;;
OTU_2219;Unclassified;;;;;;
OTU_2220;Unclassified;;;;;;
OTU_2221;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_2222;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2223;Unclassified;;;;;;
OTU_2224;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus;
OTU_2225;Unclassified;;;;;;
OTU_2226;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;
OTU_2227;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;;
OTU_2228;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01;
OTU_2229;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_2230;Unclassified;;;;;;
OTU_2231;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;
OTU_2232;Unclassified;;;;;;
OTU_2233;Unclassified;;;;;;
OTU_2234;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;
OTU_2235;Unclassified;;;;;;
OTU_2236;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2237;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
OTU_2238;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_2239;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_2240;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_2241;Unclassified;;;;;;
OTU_2242;Bacteria;Planctomycetota;OM190;;;;
OTU_2243;Unclassified;;;;;;
OTU_2244;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae;UCG-001
OTU_2245;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;uncultured;;
OTU_2246;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;;
OTU_2247;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_2248;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_2249;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;;
OTU_2250;Unclassified;;;;;;
OTU_2251;Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;;
OTU_2252;Unclassified;;;;;;
OTU_2253;Unclassified;;;;;;
OTU_2254;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2255;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;
OTU_2256;Unclassified;;;;;;
OTU_2257;Unclassified;;;;;;
OTU_2258;Unclassified;;;;;;
OTU_2259;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;;;
OTU_2260;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_2261;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;;
OTU_2262;Bacteria;Planctomycetota;OM190;;;;
OTU_2263;Unclassified;;;;;;
OTU_2264;Unclassified;;;;;;
OTU_2265;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2266;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;;
OTU_2267;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_2268;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
OTU_2269;Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7;
OTU_2270;Unclassified;;;;;;
OTU_2271;Unclassified;;;;;;
OTU_2272;Bacteria;NB1-j;;;;;
OTU_2273;Unclassified;;;;;;
OTU_2274;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2275;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_2276;Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_2277;Unclassified;;;;;;
OTU_2278;Unclassified;;;;;;
OTU_2279;Unclassified;;;;;;
OTU_2280;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;
OTU_2281;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_2282;Bacteria;Proteobacteria;Gammaproteobacteria;EC3;;;
OTU_2283;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_2284;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;;
OTU_2285;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_2286;Unclassified;;;;;;
OTU_2287;Unclassified;;;;;;
OTU_2288;Unclassified;;;;;;
OTU_2289;Unclassified;;;;;;
OTU_2290;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Parvularculaceae;;
OTU_2291;Bacteria;Planctomycetota;OM190;;;;
OTU_2292;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_2293;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;
OTU_2294;Unclassified;;;;;;
OTU_2295;Bacteria;Myxococcota;Polyangia;UASB-TL25;;;
OTU_2296;Bacteria;Latescibacterota;;;;;
OTU_2297;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;
OTU_2298;Unclassified;;;;;;
OTU_2299;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_2300;Unclassified;;;;;;
OTU_2301;Unclassified;;;;;;
OTU_2302;Unclassified;;;;;;
OTU_2303;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_2304;Bacteria;Planctomycetota;OM190;;;;
OTU_2305;Unclassified;;;;;;
OTU_2306;Bacteria;Planctomycetota;OM190;;;;
OTU_2307;Unclassified;;;;;;
OTU_2308;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2309;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_2310;Unclassified;;;;;;
OTU_2311;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_2312;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_2313;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group;
OTU_2314;Unclassified;;;;;;
OTU_2315;Unclassified;;;;;;
OTU_2316;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_2317;Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae;Kordiimonas;
OTU_2318;Unclassified;;;;;;
OTU_2319;Unclassified;;;;;;
OTU_2320;Unclassified;;;;;;
OTU_2321;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_2322;Unclassified;;;;;;
OTU_2323;Unclassified;;;;;;
OTU_2324;Unclassified;;;;;;
OTU_2325;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_2326;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;;
OTU_2327;Bacteria;;;;;;
OTU_2328;Unclassified;;;;;;
OTU_2329;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;;
OTU_2330;Bacteria;Latescibacterota;;;;;
OTU_2331;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;
OTU_2332;Unclassified;;;;;;
OTU_2333;Unclassified;;;;;;
OTU_2334;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;;
OTU_2335;Unclassified;;;;;;
OTU_2336;Unclassified;;;;;;
OTU_2337;Bacteria;NB1-j;;;;;
OTU_2338;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_2339;Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;;;
OTU_2340;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2341;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_2342;Unclassified;;;;;;
OTU_2343;Bacteria;Acidobacteriota;Holophagae;Subgroup 7;;;
OTU_2344;Bacteria;Gemmatimonadota;PAUC43f marine benthic group;;;;
OTU_2345;Bacteria;Elusimicrobiota;Lineage IIb;;;;
OTU_2346;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;;
OTU_2347;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caminicellaceae;Paramaledivibacter;
OTU_2348;Unclassified;;;;;;
OTU_2349;Bacteria;;;;;;
OTU_2350;Unclassified;;;;;;
OTU_2351;Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Arctic95B-14;;
OTU_2352;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;;
OTU_2353;Unclassified;;;;;;
OTU_2354;Unclassified;;;;;;
OTU_2355;Bacteria;Aquificota;Desulfurobacteriia;Desulfurobacteriales;Desulfurobacteriaceae;Desulfurobacterium;
OTU_2356;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;;
OTU_2357;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_2358;Bacteria;Planctomycetota;Pla4 lineage;;;;
