sequence_identifier	Domain	Phylum	Class	Order	Family	Genus
OTU_1236	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade		
OTU_1237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
OTU_1238	Unclassified					
OTU_1239	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
OTU_1240	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	uncultured
OTU_1241	Bacteria	Acidobacteria	Subgroup 22			
OTU_1242	Unclassified					
OTU_1243	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales		
OTU_1244	Unclassified					
OTU_1245	Bacteria	Proteobacteria	Gammaproteobacteria			
OTU_1246	Unclassified					
OTU_1247	Unclassified					
OTU_1248	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1249	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	uncultured
OTU_1250	Unclassified					
OTU_1251	Unclassified					
OTU_1252	Unclassified					
OTU_1253	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
OTU_1254	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group
OTU_1255	Unclassified					
OTU_1256	Unclassified					
OTU_1257	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	
OTU_1258	Unclassified					
OTU_1259	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1260	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
OTU_1261	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group
OTU_1262	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
OTU_1263	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
OTU_1264	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
OTU_1265	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	Planctomicrobium
OTU_1266	Unclassified					
OTU_1267	Unclassified					
OTU_1268	Unclassified					
OTU_1269	Unclassified					
OTU_1270	Unclassified					
OTU_1271	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_1272	Unclassified					
OTU_1273	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	
OTU_1274	Bacteria	Cyanobacteria	Oxyphotobacteria	Thermosynechococcales	Acaryochloridaceae	Acaryochloris MBIC11017
OTU_1275	Unclassified					
OTU_1276	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
OTU_1277	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula
OTU_1278	Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
OTU_1279	Unclassified					
OTU_1280	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10
OTU_1281	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured		
OTU_1282	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13		
OTU_1283	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella
OTU_1284	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula
OTU_1285	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
OTU_1286	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI cluster
OTU_1287	Unclassified					
OTU_1288	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured
OTU_1289	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus
OTU_1290	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	
OTU_1291	Unclassified					
OTU_1292	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	
OTU_1293	Unclassified					
OTU_1294	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	
OTU_1295	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales		
OTU_1296	Unclassified					
OTU_1297	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1298	Bacteria	Acidobacteria	Subgroup 6			
OTU_1299	Unclassified					
OTU_1300	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	
OTU_1301	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	
OTU_1302	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587
OTU_1303	Unclassified					
OTU_1304	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured
OTU_1305	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseivivax
OTU_1306	Unclassified					
OTU_1307	Unclassified					
OTU_1308	Unclassified					
OTU_1309	Unclassified					
OTU_1310	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured
OTU_1311	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Thermincola
OTU_1312	Unclassified					
OTU_1313	Unclassified					
OTU_1314	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	
OTU_1315	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus
OTU_1316	Unclassified					
OTU_1317	Bacteria	Latescibacteria				
OTU_1318	Unclassified					
OTU_1319	Unclassified					
OTU_1320	Unclassified					
OTU_1321	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured		
OTU_1322	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
OTU_1323	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter
OTU_1324	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
OTU_1325	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
OTU_1326	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group
OTU_1327	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_1328	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus
OTU_1329	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36		
OTU_1330	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_1331	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
OTU_1332	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
OTU_1333	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade
OTU_1334	Unclassified					
OTU_1335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
OTU_1336	Unclassified					
OTU_1337	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Microscilla
